experiment	cell	model	metric	value
E16-baseline	g3-text	llama	strict_macro_f1	0.226
E16-baseline	g3-text	llama	credited_macro_f1	0.2268
E16-baseline	g3-text	llama	d_strict_f1	0.0
E16-baseline	g3-text	llama	d_credited_f1	0.0
E16-baseline	g3-text	llama	strict_P_lt	0.1661
E16-baseline	g3-text	llama	strict_R_lt	0.8659
E16-baseline	g3-text	llama	cred_P_lt	0.1679
E16-baseline	g3-text	llama	n_assert	2514
E16-H1	g3-text	llama	strict_macro_f1	0.2273
E16-H1	g3-text	llama	credited_macro_f1	0.2282
E16-H1	g3-text	llama	d_strict_f1	0.0013
E16-H1	g3-text	llama	d_credited_f1	0.0014
E16-H1	g3-text	llama	strict_P_lt	0.1808
E16-H1	g3-text	llama	strict_R_lt	0.8424
E16-H1	g3-text	llama	cred_P_lt	0.1828
E16-H1	g3-text	llama	n_assert	2222
E16-H2	g3-text	llama	strict_macro_f1	0.2267
E16-H2	g3-text	llama	credited_macro_f1	0.2267
E16-H2	g3-text	llama	d_strict_f1	0.0008
E16-H2	g3-text	llama	d_credited_f1	-0.0001
E16-H2	g3-text	llama	strict_P_lt	0.1677
E16-H2	g3-text	llama	strict_R_lt	0.8659
E16-H2	g3-text	llama	cred_P_lt	0.1677
E16-H2	g3-text	llama	n_assert	2492
E16-H3	g3-text	llama	strict_macro_f1	0.2048
E16-H3	g3-text	llama	credited_macro_f1	0.2048
E16-H3	g3-text	llama	d_strict_f1	-0.0212
E16-H3	g3-text	llama	d_credited_f1	-0.022
E16-H3	g3-text	llama	strict_P_lt	0.2538
E16-H3	g3-text	llama	strict_R_lt	0.1976
E16-H3	g3-text	llama	cred_P_lt	0.2538
E16-H3	g3-text	llama	n_assert	624
E16-combined	g3-text	llama	strict_macro_f1	0.2002
E16-combined	g3-text	llama	credited_macro_f1	0.2002
E16-combined	g3-text	llama	d_strict_f1	-0.0258
E16-combined	g3-text	llama	d_credited_f1	-0.0266
E16-combined	g3-text	llama	strict_P_lt	0.2569
E16-combined	g3-text	llama	strict_R_lt	0.1976
E16-combined	g3-text	llama	cred_P_lt	0.2569
E16-combined	g3-text	llama	n_assert	563
E16-baseline	g5-groceries	llama	strict_macro_f1	0.2697
E16-baseline	g5-groceries	llama	credited_macro_f1	0.2828
E16-baseline	g5-groceries	llama	d_strict_f1	0.0
E16-baseline	g5-groceries	llama	d_credited_f1	0.0
